Арахисовая_паста_с_кусочками_орехов__с_солью,589 кКал
Арахисовая_паста_с_омега_3,608 кКал
Арахисовая_паста_с_пониж._содерж._жира__34%,520 кКал
Арахисовая_паста_с_пониженным_содерж._натрия,590 кКал
Арахисовая_паста_с_солью,598 кКал
Арахисовая_паста__стандарт_США,588 кКал
Арахисовое_масло__паста_спред__с_пониженным_содерж._сахара,650 кКал
Бекон__из_заменителя_мяса_(из_бобовых),309 кКал
Боб_садовый_(конский)_незрелый,72 кКал
Боб_садовый_(конский)_незрелый__вареный__без_соли,62 кКал
Боб_садовый_(конский)_незрелый__вареный__с_солью,62 кКал
Бобы_(фасоль_фава),341 кКал
Бобы_(фасоль_фава)__вареные__без_соли,110 кКал
Бобы_(фасоль_фава)__вареные__с_солью,110 кКал
Бобы_(фасоль_фава)__консервированные,71 кКал
Бобы_мунг_(маш__фасоль_золотистая)__зрелые_семена__вареные__без_доб._соли,105 кКал
Голубиный_горох__зрелый,343 кКал
Голубиный_горох__зрелый__вареный__без_соли,121 кКал
Голубиный_горох__зрелый__вареный__с_солью,121 кКал
Голубиный_горох__неспелый,136 кКал
Голубиный_горох__неспелый__вареный__без_соли,111 кКал
Голубиный_горох__неспелый__вареный__с_солью,111 кКал
Горох_колотый,364 кКал
Горох_колотый__вареный__без_соли,118 кКал
Горох_колотый__вареный__с_солью,116 кКал
Горох_лущеный__крупа,299 кКал
Горох_отварной_по_1_296,130 кКал
Горох_отварной_с_копченой_грудинкой_по_1_298,156 кКал
Горох_стручковый__вареный__без_соли,42 кКал
Горох_стручковый__вареный__с_солью,40 кКал
Горох_стручковый__замороженный__вареный__без_соли,52 кКал
Горох_стручковый__замороженный__вареный__с_солью,50 кКал
Горох_стручковый__замороженный__неприготовленный,42 кКал
Горох_стручковый__свежий,42 кКал
Горох__зерно_цельное,298 кКал
Горох__проросшие_семена,124 кКал
Горох__проросшие_семена__вареный__без_соли,98 кКал
Горох__проросшие_семена__вареный__с_солью,98 кКал
Горошек_зелёный,81 кКал
Горошек_зелёный_с_морковью__консервы,38 кКал
Горошек_зеленый_свежий,55 кКал
Горошек_зеленый_сушеный,305 кКал
Горошек_зелёный__вареный__без_соли,84 кКал
Горошек_зелёный__вареный__с_солью,84 кКал
Горошек_зелёный__замороженный,77 кКал
Горошек_зелёный__замороженный__вареный__без_соли,78 кКал
Горошек_зелёный__замороженный__вареный__с_солью,78 кКал
Горошек_зелёный__консервированный,58 кКал
Горошек_зелёный__консервированный__без__соли,53 кКал
Горошек_зелёный__консервированный__без_соли__содержимое_без_жидкости,69 кКал
Горошек_зелёный__консервированный__со_специями,50 кКал
Горошек_зелёный__консервированный__содержимое_без_жидкости,68 кКал
Горошек_зелёный__консервированный__содержимое_без_жидкости__промытый_водой,71 кКал
Горошек_зеленый._Консервы,40 кКал
Ёкан__желе_из_бобов_адзуки_(японский_десерт),260 кКал
Заменитель_мяса,311 кКал
Запеченные_бобы__консервированные__без_доб._соли,105 кКал
Камедь_бобов_рожкового_дерева,222 кКал
Колбаса__из_заменителя_мяса,255 кКал
Кормовые_бобы__в_стучках,88 кКал
Коровий_горох_(вигна_китайская)__catjang__зрелый,343 кКал
Коровий_горох_(вигна_китайская)__catjang__зрелый__вареный__без_соли,117 кКал
Коровий_горох_(вигна_китайская)__catjang__зрелый__вареный__с_солью,117 кКал
Коровий_горох_(вигна_китайская)__листья,29 кКал
Коровий_горох_(вигна_китайская)__листья__вареные__без_соли,22 кКал
Коровий_горох_(вигна_китайская)__листья__вареные__с_солью,22 кКал
Коровий_горох_(вигна_китайская)__молодые_стручки_с_семенами__вареные__без_соли,34 кКал
Коровий_горох_(вигна_китайская)__молодые_стручки_с_семенами__вареные__с_солью,34 кКал
Коровий_горох_(вигна_китайская)__молодые_стручки_с_семенами__сырые,44 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__зрелые,409 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__зрелые__вареные__вареная__без_соли,147 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__зрелые__вареные__с_солью,147 кКал
