Голова_Форели__Ашан_,97 кКал
Голубцы_Ленивые__Ашан_,106 кКал
Голубцы_Овощные__Ашан_,77 кКал
Голубцы_с_Мясом_и_Рисом__Ашан_,123 кКал
Голяшка_Говяжья__Ашан_,107 кКал
Голяшка_Говяжья_Б/К__Ашан_,114 кКал
Голяшка_Говяжья_Бескостная_Фермерская__Ашан_,187 кКал
Голяшка_Свиная__Ашан_,167 кКал
Голяшка_Телячья__Ашан_,94 кКал
Горбуша__Ашан_,174 кКал
Горбуша_г/К__Ашан_,177 кКал
Горбуша_Х/К__Ашан_,235 кКал
Горбуша_Х/К_Спинка__Ашан_,235 кКал
Горох_Варёный__Ашан_,60 кКал
Горох_Зеленый_Колотый__Ашан_,340 кКал
Горошек_Зелёный__Ашан_,35 кКал
Горошек_Печеный_с_Овощами__Ашан_,60 кКал
Горошница__Ашан_,128 кКал
Горчица__Ашан_,155 кКал
Горчица_Дижонская_Био__Ашан_,165 кКал
Горчица_Дижонская_Сладкая__Ашан_,180 кКал
Горчица_Зернистая__Ашан_,210 кКал
Горький_Шоколад_60%_Цукаты_и_Орехи__Ашан_,515 кКал
Горький_Шоколад_72%__Ашан_,570 кКал
Горький_Шоколад_Куба_70%__Ашан_,537 кКал
Горький_Шоколад_Папуа_Новая_Гвинея__Ашан_,506 кКал
Горький_Шоколад_с_Цукатами_и_Орехами__Ашан_,515 кКал
Горький_Шоколад_Санто_Доминго_71_6%__Ашан_,541 кКал
Горький_Шоколад_Эквадор_72%_Какао__Ашан_,506 кКал
Гранат__Ашан_,52 кКал
Гратен_с_Курицей__Ашан_,180 кКал
Гратэн_Картофельный__Ашан_,120 кКал
Гренадиновый_Сироп__Ашан_,308 кКал
Грецкие_Орехи__Ашан_,660 кКал
Грецкий_Орех__Ашан_,686 кКал
Грецкий_Орех_Очищенный__Ашан_,648 кКал
Греческая_Улитка_Мак_Ваниль__Ашан_,334 кКал
Греческий_Салат__Ашан_,304 кКал
Гречка__Ашан_,340 кКал
Гречка_в_Пакетиках__Ашан_,215 кКал
Гречка_Грибы__Ашан_,145 кКал
Гречка_на_Пару__Ашан_,157 кКал
Гречка_Отварная__Ашан_,86 кКал
Гречка_с_Грибами__Ашан_,188 кКал
Гречневая_Каша_с_Курицей__Ашан_,139 кКал
Гречневая_Крупа__Ашан_,350 кКал
Гречневая_Крупа__Ашан_,215 кКал
"Грибы_""Шитаки""__Ашан_",116 кКал
Грибы_в_Сметанном_Соусе__Ашан_,134 кКал
Грибы_Шиитаке__Ашан_,34 кКал
Грудинка_Говяжья_Бескостная_«Фермерская»__Ашан_,250 кКал
Грудинка_на_Хрящиках__Ашан_,530 кКал
Грудинка_Свиная_Б/К__Ашан_,543 кКал
Грудинка_Свиная_Бескостная__Ашан_,530 кКал
Грудка_Куриная_Отварная__Ашан_,183 кКал
Грудки_Куриные_Гриль__Ашан_,140 кКал
Груша_Анжу__Ашан_,59 кКал
Груша_Вильямс__Ашан_,42 кКал
Груша_Вяленая__Ашан_,250 кКал
Груши_Пакхам__Ашан_,42 кКал
Гуляш_из_Говядины__Ашан_,335 кКал
Гуляш_из_Говядины_Фермерский__Ашан_,220 кКал
"Гуляш_из_Свинины_""Фермерский""__Ашан_",230 кКал
Гуляш_из_Телятины__Ашан_,100 кКал
Декор_из_Шоколада__Ашан_,513 кКал
Дениш_с_Мясной_Начинкой__Ашан_,340 кКал
Десерт_Ванильный__Ашан_,179 кКал
Десерт_из_Яблок_с_Бананами__Ашан_,44 кКал
Десерт_Кокосовый__Ашан_,186 кКал
Десерт_со_Вкусом_Ванили__Ашан_,102 кКал
Десерт_Фруктовый_Яблоко_Клубника__Ашан_,69 кКал
Десерт_Шоколадный__Ашан_,173 кКал
Десерт_Яблочно_Банановый__Ашан_,100 кКал
Десерт_Яблочный__Ашан_,80 кКал
Джем_Апельсиновый__Ашан_,247 кКал
Джем_Грушевый__Ашан_,240 кКал
Джем_Клубничный__Ашан_,240 кКал
Джем_Малина__Ашан_,240 кКал
Джем_Черная_Смородина__Ашан_,210 кКал
Дижонская_Горчица__Ашан_,152 кКал
Дижонская_Горчица_с_Уксусом__Ашан_,149 кКал
Дикий_Рис__Ашан_,335 кКал
Дикий_Рис_Цицания__Ашан_,350 кКал
Донат_с_Шоколадной_Глазурью__Ашан_,441 кКал
Донат_с_Шоколадной_Начинкой__Ашан_,463 кКал
Донат_с_Ягодной_Начинкой__Ашан_,420 кКал
Донат_Тутти_Фрутти__Ашан_,311 кКал
Дорадо__Ашан_,96 кКал
Драники_из_Свеклы__Ашан_,241 кКал
Драники_Картофельные__Ашан_,184 кКал
Дыня_Тайская_Сушеная__Ашан_,341 кКал
Европейский_Гарнир__Ашан_,28 кКал
Ежевика_Замороженная__Ашан_,64 кКал
Жареха__Ашан_,154 кКал
Жаркое_по_Домашнему__Ашан_,154 кКал
Жерех_Х/К__Ашан_,191 кКал
Жульен__Ашан_,238 кКал
Жульен_из_Курицы__Ашан_,276 кКал
Жульен_с_Грибами_и_Курицей__Ашан_,189 кКал
Заварной_Хлеб_с_Солодом__Ашан_,241 кКал
Заливное_Рыбное__Ашан_,149 кКал
Запеканка_Творожная__Ашан_,242 кКал
Запеканка_Творожная_с_Ароматом_Ванили__Ашан_,190 кКал
Запеканка_Творожная_с_Изюмом__Ашан_,239 кКал
Запеканка_Творожная_с_Курагой__Ашан_,236 кКал
Запеканка_Творожная_Черника__Ашан_,180 кКал
Запечённая_Цветная_Капуста__Ашан_,115 кКал
Заправка_для_Салата_Оливковая_с_Травами__Ашан_,100 кКал
Заправка_для_Салата_Цезарь__Ашан_,270 кКал
Звездочки_Глазированные__Ашан_,391 кКал
Зеленая_Спаржа_Мини_в_Банке__Ашан_,27 кКал
Зерна_Кунжута__Ашан_,549 кКал
Зефир_Ананасовый__Ашан_,342 кКал
Зефир_в_Глазури__Ашан_,370 кКал
Зефир_Ванильный__Ашан_,303 кКал
Зефир_Глазированный__Ашан_,395 кКал
Зефир_Жизель_с_Начинкой__Ашан_,261 кКал
Зефир_Клубничный__Ашан_,342 кКал
Зефир_Крем_Брюле__Ашан_,303 кКал
Зефир_Крем_Шоколад__Ашан_,310 кКал
Зефир_с_Печеньем_в_Шоколаде__Ашан_,350 кКал
Зефир_Яблочный__Ашан_,298 кКал
Зефирные_Палочки__Ашан_,396 кКал
Злаковые_Хлопья_с_Шоколадом_и_Ванилью__Ашан_,397 кКал
Злаковый_Батончик_Crousty__Ашан_,419 кКал
Золотые_Завитки_Слоеные_с_Корицей__Ашан_,490 кКал
Зразы_Куриные_с_Грибами__Ашан_,230 кКал
Зубатка__Ашан_,126 кКал
Изделие_Заварное_с_Сыром__Ашан_,341 кКал
Изделие_Хлебобулочное_Чемпион__Ашан_,298 кКал
Изделия_Булочные_Сырные__Ашан_,350 кКал
Изделия_Х/Б_Дачные__Ашан_,288 кКал
Изысканный_Багет__Ашан_,257 кКал
Изюм_Желтый_Крупный__Ашан_,280 кКал
Изюм_Желтый_Мелкий__Ашан_,226 кКал
Изюм_Чёрный_Мелкий__Ашан_,290 кКал
Икра_Баклажанная__Ашан_,45 кКал
Икра_из_Баклажанов__Ашан_,70 кКал
Икра_из_Баклажанов_по_Домашнему__Ашан_,80 кКал
Икра_из_Кабачков__Ашан_,90 кКал
Икра_из_Кабачков_по_Домашнему__Ашан_,41 кКал
Икра_Минтая__Ашан_,130 кКал
Икра_Мойвы__Ашан_,486 кКал
Икра_Мойвы_в_Сырном_Соусе__Ашан_,364 кКал
Икра_Мойвы_Пробойная__Ашан_,57 кКал
Икра_Мойвы_с_Копченым_Лососем_в_Соусе__Ашан_,400 кКал
Икра_Палтуса__Ашан_,107 кКал
Икра_Рыбная__Ашан_,350 кКал
Икра_Рыбная_Слабосолёная_в_Соусе_с_Кусочками_Копчёной_Горбуши__Ашан_,350 кКал
Икра_Трески_Весовая__Ашан_,130 кКал
Имбирь_в_Сахаре__Ашан_,296 кКал
Имбирь_Маринованный__Ашан_,30 кКал
Императорская_Смесь__Ашан_,23 кКал
Индейка_в_Брусничном_Соусе__Ашан_,235 кКал
Инжир__Ашан_,49 кКал
Инжир_Сушеный__Ашан_,248 кКал
Инжир_Сушеный_Отборный__Ашан_,280 кКал
Испанская_Смесь_со_Сливочным_Соусом__Ашан_,107 кКал
Итальянская_Смесь__Ашан_,41 кКал
Йогурт_0_1%__Ашан_,37 кКал
Йогурт_0%__Ашан_,38 кКал
Йогурт_0%_на_Прослойке_из_Клубники__Ашан_,41 кКал
Йогурт_2_7%__Ашан_,91 кКал
Йогурт_Bifidus__Ашан_,64 кКал
Йогурт_Fruits__Ашан_,38 кКал
Йогурт_Nature__Ашан_,45 кКал
Йогурт_Арома_0%__Ашан_,37 кКал
Йогурт_Бифидус__Ашан_,64 кКал
Йогурт_Ванильный__Ашан_,111 кКал
Йогурт_Натуральный_1_4%__Ашан_,45 кКал
Йогурт_Натуральный_2%__Ашан_,57 кКал
Йогурт_Обезжиренный__Ашан_,37 кКал
Йогурт_с_Массовой_Долей_Жира_0%__Ашан_,38 кКал
Йогурт_со_Вкусом_Ванили__Ашан_,97 кКал
Йогурт_Черника__Ашан_,83 кКал
Йогурт_Яблоко_Банан__Ашан_,83 кКал
Кабачки__Ашан_,27 кКал
Кабачки_Гриль__Ашан_,63 кКал
Кабачки_по_Домашнему__Ашан_,50 кКал
Кабачки_по_Тоскански__Ашан_,65 кКал
Кабачки_Фаршированные_Курицей__Ашан_,65 кКал
Кабачок__Ашан_,24 кКал
Кабачок_Фаршированный__Ашан_,212 кКал
Кавказский_Сыр_Мягкий__Ашан_,238 кКал
Кайзерка_Пшеничная_с_Кунжутом__Ашан_,221 кКал
Кайзерка_с_Сыром__Ашан_,221 кКал
Какао__Ашан_,273 кКал
Какао_Bio__Ашан_,367 кКал
Какао_Натуральный__Ашан_,273 кКал
Какао_Крупка_Тёмный_Шоколад_со_Стевией__Ашан_,459 кКал
Кальмар_г/К_с_Пряностями__Ашан_,87 кКал
Кальмар_г/К_с_Пряностями__Ашан_,138 кКал
Кальмар_Г/К_Со_Специями__Ашан_,94 кКал
Кальмар_Гк__Ашан_,335 кКал
Кальмар_Горячего_Копчения__Ашан_,110 кКал
Кальмар_Горячего_Копчения_Рулет__Ашан_,335 кКал
Кальмар_Горячего_Копчения_с_Пряностями__Ашан_,138 кКал
Кальмар_Командорский_В_Сметане_15%__Ашан_,81 кКал
Кальмар_Командорский_Кольца__Ашан_,88 кКал
Кальмар_Копченый__Ашан_,138 кКал
Кальмар_Натуральный__Ашан_,106 кКал
Кальмар_по_Шанхайски__Ашан_,210 кКал
Кальмар_Полоски_с/с__Ашан_,266 кКал
Кальмар_С_Пряностями__Ашан_,138 кКал
Кальмар_со_Вкусом_Краба__Ашан_,210 кКал
Кальмар_Стружка__Ашан_,266 кКал
Кальмар_Сушеный__Ашан_,240 кКал
Кальмар_Филе_Кусок__Ашан_,124 кКал
Кальмары_Сушеные__Ашан_,191 кКал
Камамбер__Ашан_,305 кКал
Камамбер_Де_Фамиль_Фитнес__Ашан_,205 кКал
Камбала__Ашан_,83 кКал
Камбала_Вяленая__Ашан_,130 кКал
Каннеллони__Ашан_,324 кКал
Канталупа__Ашан_,338 кКал
Каперсы__Ашан_,23 кКал
Капкейк__Ашан_,364 кКал
Капуста_Брокколи_Вес__Ашан_,33 кКал
Капуста_Квашеная__Ашан_,19 кКал
Капуста_Кольраби__Ашан_,44 кКал
Капуста_Маринованная_по_Корейски__Ашан_,90 кКал
Капуста_с_Клюквой__Ашан_,107 кКал
Капуста_Тушёная__Ашан_,94 кКал
Капуста_Тушёная__Ашан_,56 кКал
Капуста_Тушёная_с_Грибами__Ашан_,95 кКал
Капучино_в_Капсулах__Ашан_,469 кКал
Карамельный_Соус__Ашан_,321 кКал
Карп__Ашан_,112 кКал
Карри_Курица_с_Кускусом__Ашан_,193 кКал
Картофель__Ашан_,77 кКал
Картофель_Дольки__Ашан_,160 кКал
Картофель_Жареный_с_Грибами__Ашан_,170 кКал
Картофель_Запеченый_в_Сыре__Ашан_,170 кКал
Картофель_Молодой_Запечённый__Ашан_,246 кКал
Картофель_Отварной__Ашан_,82 кКал
Картофель_Печеный__Ашан_,112 кКал
Картофель_по_Французски__Ашан_,198 кКал
Картофель_с_Сыром__Ашан_,141 кКал
Картофель_Фри__Ашан_,221 кКал
Картофельное_Пюре__Ашан_,97 кКал
Картофельное_Пюре_с_Сыром_и_Зеленью__Ашан_,140 кКал
Картофельные_Дольки_в_Кожуре__Ашан_,110 кКал
Каша_Гурьевская__Ашан_,120 кКал
Каша_Манная_Гурьевская__Ашан_,98 кКал
Каша_Овсяная__Ашан_,329 кКал
Каша_Овсяная_Молочная__Ашан_,138 кКал
Каша_Овсяная_на_Молоке__Ашан_,80 кКал
Каша_Овсяная_с_Бананом__Ашан_,91 кКал
Каша_Овсяная_с_Клубникой__Ашан_,351 кКал
Каша_Овсяная_с_Малиной__Ашан_,351 кКал
Каша_Овсяная_с_Черникой__Ашан_,353 кКал
Каша_Овсяная_со_Сливками__Ашан_,100 кКал
Каша_Перловая_с_Грибами__Ашан_,129 кКал
Каша_Пшенная_Молочная__Ашан_,102 кКал
Каша_Пшенная_с_Тыквой__Ашан_,92 кКал
Каша_Пшенная_Тыква__Ашан_,95 кКал
Каша_Рисовая_Молочная__Ашан_,84 кКал
Каша_Рисовая_с_Папайей__Ашан_,340 кКал
Каша_Рисовая_со_Сливками__Ашан_,117 кКал
Каша_Сытная__Ашан_,347 кКал
Каштановый_Крем__Ашан_,251 кКал
Квас_Живого_Брожения__Ашан_,30 кКал
Кедровые_Орехи__Ашан_,670 кКал
Кедровый_Орех_Очищенный__Ашан_,603 кКал
Кекс_Голландский__Ашан_,397 кКал
Кекс_Дива__Ашан_,425 кКал
Кекс_Мадлен__Ашан_,323 кКал
Кекс_Медовый_Весовой__Ашан_,345 кКал
Кекс_Мраморный__Ашан_,480 кКал
Кекс_с_Вишней__Ашан_,332 кКал
Кекс_с_Маком__Ашан_,360 кКал
Кекс_с_Маком_Весовой__Ашан_,330 кКал
Кекс_с_Персиками__Ашан_,364 кКал
Кекс_с_Чёрной_Смородиной__Ашан_,444 кКал
Кекс_с_Яблоками__Ашан_,458 кКал
Кекс_Столичный__Ашан_,323 кКал
Кекс_Творожный__Ашан_,319 кКал
Кекс_Шоколадный__Ашан_,340 кКал
Кета_г/К__Ашан_,134 кКал
Кетчуп__Ашан_,113 кКал
Кетчуп_Шашлычный__Ашан_,85 кКал
Кефир_1%__Ашан_,37 кКал
Кефир_3_2%__Ашан_,57 кКал
Кешью__Ашан_,630 кКал
Кешью_Жареный__Ашан_,609 кКал
Кешью_Жареный_со_Специями__Ашан_,586 кКал
Кешью_Сушеный__Ашан_,600 кКал
Кешью_Эконом__Ашан_,600 кКал
Киви__Ашан_,48 кКал
Киви_Сушеный__Ашан_,275 кКал
Кимчи__Ашан_,16 кКал
Киноа__Ашан_,380 кКал
Киноа_с_Чечевицей_и_Помидорами__Ашан_,157 кКал
Китайская_Смесь__Ашан_,23 кКал
Киш_с_Вишней__Ашан_,290 кКал
Киш_с_Лососем__Ашан_,226 кКал
Киш_с_Мясом__Ашан_,215 кКал
Кленовая_Косичка__Ашан_,314 кКал
Кленовый_Пекан__Ашан_,410 кКал
Кленовый_Сироп__Ашан_,220 кКал
Клубника_Замороженная__Ашан_,56 кКал
Клубника_Свежая__Ашан_,30 кКал
Клубника_Сушеная__Ашан_,298 кКал
Клубничный_Конфитюр__Ашан_,247 кКал
Клубничный_Соус__Ашан_,121 кКал
Клюква_Сушёная__Ашан_,320 кКал
Коврижка_Весовая__Ашан_,490 кКал
Кокосовая_Стружка__Ашан_,693 кКал
Коктейль_из_Морепродуктов__Ашан_,60 кКал
Коктейль_из_Орехов_и_Сухофруктов__Ашан_,480 кКал
Колбаса_Ароматная_со_Шпиком__Ашан_,316 кКал
Колбаса_Вареная_Испанская__Ашан_,252 кКал
Колбаса_Праздничная__Ашан_,468 кКал
Колбаса_Русская__Ашан_,310 кКал
Колбаса_Сырокопченая_Фантазия__Ашан_,440 кКал
Колбаса_Телячья__Ашан_,273 кКал
Колбаска_Краинская_Домашняя__Ашан_,350 кКал
Колбаски_«Французские»_Фильер__Ашан_,280 кКал
Колбаски_Гриль_с_Черникой__Ашан_,230 кКал
Колбаски_для_Гриля_с_Сыром_Фермерские__Ашан_,310 кКал
Колбаски_Домашние__Ашан_,360 кКал
"Колбаски_из_Говядины_""Фермерской""__Ашан_",180 кКал
Колбаски_Крупнорубленные__Ашан_,336 кКал
Колбаски_Мергез__Ашан_,170 кКал
Колбаски_Мюнхенские__Ашан_,350 кКал
Колбаски_Нюрнбергские__Ашан_,260 кКал
Колбаски_Острые_с_Перцем_Халапеньо__Ашан_,220 кКал
Колбаски_с_Клюквой_и_Брусникой__Ашан_,310 кКал
Колбаски_Силезские__Ашан_,285 кКал
Колбаски_Тюрингские__Ашан_,285 кКал
Колбаски_Украинские__Ашан_,146 кКал
Колбаски_Филейные__Ашан_,230 кКал
Колбаски_Французские__Ашан_,285 кКал
Кольца_Кальмаров__Ашан_,200 кКал
Кольцо_Песочное__Ашан_,310 кКал
Кольцо_с_Творожным_Кремом__Ашан_,372 кКал
Конгрио__Ашан_,94 кКал
Конина_Акбузат__Ашан_,134 кКал
Конфеты_Bonbons_Toumou__Ашан_,330 кКал
Конфеты_Жевательные_со_Вкусом_Банана_Fraiza_Banana__Ашан_,350 кКал
Конфеты_Неглазированные_с_Топинамбуром__Ашан_,430 кКал
Конфеты_с_Лакрицей__Ашан_,352 кКал
Конфитюр_Вишневый__Ашан_,215 кКал
Конфитюр_из_Ежевики__Ашан_,246 кКал
Конфитюр_Клубника__Ашан_,247 кКал
Конфитюр_Персик_Манго__Ашан_,179 кКал
Конфитюр_Трио_Апельсин/Лимон__Ашан_,199 кКал
Конфитюр_Черника__Ашан_,251 кКал
Кордон_Блю__Ашан_,134 кКал
Корейка_Свиная__Ашан_,293 кКал
Корейка_Свиная_Б/К__Ашан_,189 кКал
"Корейка_Свиная_Бескостная_""Фермерская""__Ашан_",180 кКал
Корень_Петрушки__Ашан_,49 кКал
Корица_Молотая__Ашан_,267 кКал
Корнишоны_Маринованные__Ашан_,25 кКал
Королевские_Креветки_в_Рассоле__Ашан_,53 кКал
Косичка_Курица/Картошка__Ашан_,226 кКал
Косичка_Мясо/Картофель__Ашан_,233 кКал
Косичка_с_Изюмом__Ашан_,393 кКал
Котлета_Киевская__Ашан_,230 кКал
Котлета_Куриная__Ашан_,191 кКал
Котлета_Куриная_с_Маслом__Ашан_,260 кКал
Котлета_Куриная_со_Сливками__Ашан_,117 кКал
Котлета_Натуральная_из_Индейки__Ашан_,100 кКал
Котлета_Натуральная_из_Телятины__Ашан_,94 кКал
Котлета_Натуральная_Телячья__Ашан_,81 кКал
Котлета_Паровая_Индейка__Ашан_,194 кКал
Котлета_Паровая_Куриная__Ашан_,200 кКал
Котлета_по_Киевски__Ашан_,243 кКал
Котлета_Пожарская__Ашан_,150 кКал
Котлета_Рыбная__Ашан_,130 кКал
Котлета_Свиная_Натуральная__Ашан_,234 кКал
Котлеты_Богатырские__Ашан_,248 кКал
Котлеты_из_Индейки__Ашан_,208 кКал
Котлеты_из_Минтая__Ашан_,185 кКал
Котлеты_из_Птицы__Ашан_,187 кКал
Котлеты_Индюшиные__Ашан_,150 кКал
Котлеты_Капустные__Ашан_,223 кКал
Котлеты_Картофельные__Ашан_,274 кКал
Котлеты_Куриные__Ашан_,352 кКал
Котлеты_Куриные_Запеченые__Ашан_,235 кКал
Котлеты_Куриные_Рубленые__Ашан_,138 кКал
Котлеты_Куриные_с_Сыром__Ашан_,230 кКал
Котлеты_Куриные_со_Сливками__Ашан_,117 кКал
Котлеты_Минские__Ашан_,212 кКал
Котлеты_Московские_Говяжьи__Ашан_,194 кКал
Котлеты_Московские_из_Говядины_Фермерской__Ашан_,170 кКал
Котлеты_Мясные__Ашан_,158 кКал
Котлеты_Охотничьи__Ашан_,280 кКал
Котлеты_Паровые__Ашан_,194 кКал
Котлеты_по_Сицилийски__Ашан_,260 кКал
Котлеты_Рыбные_Домашние__Ашан_,220 кКал
Котлеты_Рыбные_из_Минтая__Ашан_,185 кКал
Котлеты_Свекольные__Ашан_,156 кКал
Котлеты_Славянские__Ашан_,250 кКал
Котлеты_Филейные__Ашан_,181 кКал
"Кофе_Молотый_Арабика_""Эфиопия""__Ашан_",354 кКал
Крабовое_Мясо__Ашан_,120 кКал
Крабовые_Палочки__Ашан_,81 кКал
Крабовые_Палочки_Снежный_Краб__Ашан_,84 кКал
Красная_Фасоль__Ашан_,85 кКал
Красный_Банан__Ашан_,90 кКал
Креветки_90/120__Ашан_,80 кКал
Креветки_Аргентинские__Ашан_,64 кКал
Креветки_в_Панировке__Ашан_,113 кКал
Креветки_Королевские__Ашан_,78 кКал
Креветки_Королевские_Неразделанные__Ашан_,92 кКал
Креветки_Королевские_Очищенные_с_Хвостиком_с_Пряностями__Ашан_,55 кКал
Креветки_Очищенные__Ашан_,55 кКал
Крекер_Галета__Ашан_,370 кКал
Кремчиз__Ашан_,263 кКал
Крендель_Сдобный__Ашан_,350 кКал
Крендельки_с_Солью__Ашан_,322 кКал
Крендельки_с_Тростниковым_Сахаром__Ашан_,455 кКал
Круассан__Ашан_,448 кКал
Круассан_без_Начинки__Ашан_,440 кКал
Круассан_Зерновой__Ашан_,294 кКал
Круассан_Классический__Ашан_,472 кКал
Круассан_Клубничный__Ашан_,498 кКал
Круассан_с_Вареной_Сгущенкой__Ашан_,396 кКал
Круассан_с_Вишней__Ашан_,372 кКал
Круассан_с_Джемом__Ашан_,399 кКал
Круассан_с_Кремом__Ашан_,430 кКал
Круассан_с_Кунжутом__Ашан_,472 кКал
Круассан_с_Курицей__Ашан_,237 кКал
Круассан_с_Маслом__Ашан_,317 кКал
Круассан_с_Семгой__Ашан_,238 кКал
Круассан_с_Сыром_и_Кунжутом__Ашан_,360 кКал
Круассан_с_Шоколадной_Начинкой__Ашан_,457 кКал
Круассан_со_Сливочным_Кремом__Ашан_,393 кКал
Круассаны__Ашан_,345 кКал
Круассаны_с_Джемом__Ашан_,368 кКал
Круассаны_с_Сыром__Ашан_,410 кКал
Круассаны_с_Шоколадом__Ашан_,421 кКал
Круассаны_со_Сгущенкой__Ашан_,302 кКал
Крупа_Овсяная__Ашан_,342 кКал
Крупа_Овсяная_Недробленая__Ашан_,342 кКал
Крупа_Перловая__Ашан_,310 кКал
Крылья_Куриные__Ашан_,149 кКал
Кукуруза_для_Попкорна__Ашан_,326 кКал
Кукуруза_Жареная_Соленая__Ашан_,440 кКал
Кукуруза_Замороженная__Ашан_,94 кКал
Кукуруза_Консервированная__Ашан_,79 кКал
Кукуруза_Сахарная__Ашан_,50 кКал
Кукурузные_Галеты_Био__Ашан_,384 кКал
Кукурузные_Палочки__Ашан_,470 кКал
Кукурузные_Хлопья__Ашан_,318 кКал
Кукурузные_Шарики_со_Вкусом_Сыра__Ашан_,490 кКал
Кукурузный_Багет__Ашан_,300 кКал
Кулебяка_с_Мясом_и_Рисом__Ашан_,299 кКал
Кулинарный_Горький_Шоколад__Ашан_,610 кКал
Кулинарный_Молочный_Шоколад__Ашан_,556 кКал
Кулич_Пасхальный__Ашан_,429 кКал
Кулич_Покровский__Ашан_,330 кКал
Кулич_с_Изюмом__Ашан_,330 кКал
Кулич_с_Изюмом_и_Помадкой__Ашан_,308 кКал
Кулич_с_Цукатами_и_Помадкой__Ашан_,356 кКал
Кумкуат_в_Сахаре__Ашан_,55 кКал
Купаты_Дачные_из_Свинины_Фермерской__Ашан_,330 кКал
Купаты_из_Говядины__Ашан_,248 кКал
Купаты_из_Говядины_Фермерской__Ашан_,170 кКал
Купаты_из_Телятины__Ашан_,194 кКал
Купаты_Куриные__Ашан_,210 кКал
Купаты_Московские__Ашан_,320 кКал
Кура_Гриль__Ашан_,132 кКал
Курага__Ашан_,230 кКал
Курага_8_Эконом__Ашан_,194 кКал
Курага_Шоколадная__Ашан_,137 кКал
Курага_Экстра__Ашан_,291 кКал
Куриная_Грудка_Вареная__Ашан_,137 кКал
Куриная_Грудка_Гриль__Ашан_,158 кКал
Куриная_Грудка_Отварная__Ашан_,223 кКал
Куриное_Гнездо__Ашан_,205 кКал
Куриное_Филе__Ашан_,140 кКал
Куриные_Оладьи__Ашан_,228 кКал
Куриные_Отбивные__Ашан_,110 кКал
Куриные_Шейки__Ашан_,297 кКал
Куриный_Салат_с_Ананасами__Ашан_,149 кКал
Курица__Ашан_,190 кКал
Курица_в_Кисло_Сладком_Соусе__Ашан_,120 кКал
Курица_в_Сливочно_Сырном_Соусе_с_Грибами__Ашан_,130 кКал
Курица_Гриль_в_Маринаде__Ашан_,223 кКал
Курица_Гриль__Ашан_,220 кКал
Курник_с_Курицей__Ашан_,289 кКал
Куры_Гриль__Ашан_,228 кКал
Кускус__Ашан_,370 кКал
Кускус_Пшеничный__Ашан_,350 кКал
Кусочки_из_Филе_Рыбы__Ашан_,160 кКал
Лаваш__Ашан_,277 кКал
Лаваш_Армянский__Ашан_,277 кКал
Лаваш_с_Сыром_и_Чесноком__Ашан_,165 кКал
Лазанья_из_Твёрдых_Сортов_Пшеницы__Ашан_,324 кКал
Лазанья_по_Болонезски__Ашан_,210 кКал
Лакомка_Сливочная__Ашан_,270 кКал
Лапша_Падтай__Ашан_,131 кКал
Лапша_Удон_с_Курицей__Ашан_,180 кКал
Лапша_Удон_с_Овощами__Ашан_,151 кКал
Лемонема__Ашан_,77 кКал
Лепешка_Ржаная__Ашан_,260 кКал
Лепешка_Ржаная_с_Клюквой__Ашан_,215 кКал
Лепешка_с_Кунжутом__Ашан_,286 кКал
Лепешка_с_Сыром__Ашан_,239 кКал
Лепешка_Сметана_с_Грибами__Ашан_,447 кКал
Лепешка_Соус_Песто/Базилик__Ашан_,467 кКал
Лепешка_Среднеазиатская__Ашан_,300 кКал
Лепешка_Тандырная__Ашан_,319 кКал
Лепешка_Томат_с_Базиликом__Ашан_,426 кКал
Лещ_Холодного_Копчения__Ашан_,170 кКал
Личи__Ашан_,65 кКал
Ломтики_Лосося__Ашан_,147 кКал
Лопатка_Бескостная_Телятины__Ашан_,90 кКал
Лопатка_Говяжья__Ашан_,158 кКал
Лопатка_Говяжья_Бескостная_Фермерская__Ашан_,170 кКал
Лопатка_Свиная_Б/К__Ашан_,230 кКал
Лопатка_Телячья__Ашан_,99 кКал
Лосось__Ашан_,220 кКал
Лосось_в_Сыре__Ашан_,376 кКал
Лосось_Стейк__Ашан_,153 кКал
Лосось_Филе_на_Коже__Ашан_,148 кКал
Лук__Ашан_,41 кКал
Луковые_Кольца_в_Панировке__Ашан_,240 кКал
Любимчик_с_Изюмом__Ашан_,335 кКал
Любимчик_с_Маком__Ашан_,521 кКал
Люля_Кебаб_Куриный__Ашан_,199 кКал
Люля_Кебаб__Ашан_,128 кКал
Мадлен_Лимон__Ашан_,422 кКал
Мадлен_с_Изюмом__Ашан_,417 кКал
Мадлен_с_Шоколадом__Ашан_,420 кКал
Майонез_Bio__Ашан_,733 кКал
Майонез_с_Перепелиным_Яйцом__Ашан_,610 кКал
Майонезный_Соус__Ашан_,241 кКал
Макаронсы__Ашан_,404 кКал
Макароны__Ашан_,340 кКал
Макароны_Бантики__Ашан_,324 кКал
Макароны_Колокольчики__Ашан_,324 кКал
Макароны_Перья__Ашан_,340 кКал
Макароны_по_Флотски__Ашан_,199 кКал
Макароны_Пружинки__Ашан_,324 кКал
Макароны_Ракушки__Ашан_,340 кКал
Макароны_Фузилли__Ашан_,343 кКал
Макароны_Цветные__Ашан_,334 кКал
Макарунс_Клубника__Ашан_,265 кКал
Малина_Замороженная__Ашан_,31 кКал
